NCR_ID,INSPECTION_ID,SUPPLIER_ID,PART_ID,PLANT_ID,NCR_DATE,SEVERITY,ROOT_CAUSE,DISPOSITION,STATUS
300,9618,156,8735,1,2024-09-19,MINOR,Electrical test failure,USE_AS_IS,OPEN
301,2483,487,28381,5,2026-09-24,MINOR,Electrical test failure,USE_AS_IS,CLOSED
302,9247,2,25048,6,2023-10-01,CRITICAL,Surface finish degradation,RETURN,CLOSED
303,4056,166,1528,4,2025-11-30,CRITICAL,Material contamination,RETURN,OPEN
304,984,76,14290,10,2026-08-19,CRITICAL,Dimensional out-of-spec,RETURN,CLOSED
305,8303,304,8975,9,2024-04-08,MAJOR,Material contamination,SCRAP,CLOSED
306,9838,133,19374,1,2023-01-06,CRITICAL,Electrical test failure,SCRAP,CLOSED
307,9448,147,17385,12,2026-08-10,MINOR,Unapproved substitution,USE_AS_IS,CLOSED
308,7154,2,6575,8,2024-04-06,MAJOR,Surface finish degradation,SCRAP,CLOSED
309,1679,465,14881,9,2026-06-23,MAJOR,Unapproved substitution,SCRAP,CLOSED
310,2494,432,11620,3,2024-07-10,CRITICAL,Wrong revision shipped,RETURN,CLOSED
311,2480,456,11668,12,2023-07-12,MINOR,Surface finish degradation,USE_AS_IS,CLOSED
312,9857,322,528,1,2024-08-26,MAJOR,Unapproved substitution,REWORK,CLOSED
313,7866,2,4447,1,2024-12-30,CRITICAL,Unapproved substitution,SCRAP,CLOSED
314,7698,442,19105,3,2026-04-20,MAJOR,Material contamination,REWORK,OPEN
315,5495,396,13006,9,2023-01-21,MAJOR,Material contamination,SCRAP,OPEN
316,5483,196,7106,1,2023-02-14,MAJOR,Material contamination,REWORK,CLOSED
317,7292,354,17748,6,2025-06-15,MAJOR,ESD damage in shipping,RETURN,CLOSED
318,4791,2,14048,11,2026-07-06,MINOR,Solder joint defect,USE_AS_IS,OPEN
319,4134,56,6692,7,2024-05-21,CRITICAL,Electrical test failure,RETURN,CLOSED
320,5782,356,17949,2,2024-09-01,MAJOR,Electrical test failure,USE_AS_IS,CLOSED
321,6508,278,13741,4,2025-05-30,MAJOR,Cracked substrate from shock,RETURN,CLOSED
322,6159,480,20663,10,2023-05-09,CRITICAL,Electrical test failure,USE_AS_IS,OPEN
323,7171,3,2986,12,2024-02-05,MAJOR,Wrong revision shipped,REWORK,CLOSED
324,7108,133,10990,8,2026-02-20,MINOR,Material contamination,USE_AS_IS,CLOSED
325,9127,159,9550,7,2023-01-31,MINOR,Material contamination,SCRAP,CLOSED
326,6225,2,21222,9,2026-06-15,CRITICAL,Documentation mismatch,REWORK,CLOSED
327,5893,115,2474,9,2023-08-27,MINOR,Wrong revision shipped,SCRAP,CLOSED
328,4309,3,27838,3,2023-09-03,MAJOR,Electrical test failure,SCRAP,CLOSED
329,2838,2,12439,2,2025-12-27,MINOR,Electrical test failure,SCRAP,CLOSED
330,1302,3,19318,10,2023-07-31,MAJOR,Wrong revision shipped,REWORK,CLOSED
331,7888,217,12662,11,2025-12-28,MINOR,Surface finish degradation,RETURN,CLOSED
332,3586,151,1505,1,2026-03-30,MAJOR,Unapproved substitution,SCRAP,CLOSED
333,1404,216,22741,3,2025-08-09,CRITICAL,Solder joint defect,RETURN,OPEN
334,8952,137,24797,10,2026-01-03,MAJOR,Material contamination,RETURN,CLOSED
335,26,171,28516,7,2023-10-03,CRITICAL,Surface finish degradation,USE_AS_IS,CLOSED
336,1059,254,25411,6,2025-04-23,MINOR,Surface finish degradation,RETURN,CLOSED
337,972,433,1967,12,2024-10-14,CRITICAL,Cracked substrate from shock,RETURN,CLOSED
338,487,460,16952,7,2025-04-30,CRITICAL,Unapproved substitution,REWORK,OPEN
339,4600,1,9526,2,2023-05-18,MINOR,Unapproved substitution,SCRAP,CLOSED
340,8970,263,22598,10,2023-06-17,MAJOR,Electrical test failure,REWORK,CLOSED
341,1126,108,1158,10,2025-08-04,CRITICAL,Documentation mismatch,REWORK,CLOSED
342,2165,427,19477,7,2024-05-10,CRITICAL,ESD damage in shipping,RETURN,CLOSED
343,4625,2,10356,12,2025-06-24,MINOR,Material contamination,SCRAP,OPEN
344,8680,1,22283,4,2025-10-18,MAJOR,Cracked substrate from shock,RETURN,CLOSED
345,4,2,28237,7,2026-04-16,CRITICAL,Wrong revision shipped,REWORK,CLOSED
346,3028,456,19761,11,2025-06-23,MINOR,Surface finish degradation,USE_AS_IS,CLOSED
347,117,101,5886,5,2025-09-13,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
348,6631,2,682,8,2023-01-01,MINOR,Documentation mismatch,USE_AS_IS,CLOSED
349,338,493,18044,12,2025-01-26,CRITICAL,Solder joint defect,USE_AS_IS,CLOSED
350,9126,285,27716,12,2023-06-05,CRITICAL,Surface finish degradation,SCRAP,CLOSED
351,424,92,25844,6,2026-04-29,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
352,6073,2,12256,7,2025-03-08,MAJOR,Dimensional out-of-spec,RETURN,CLOSED
353,8686,359,806,12,2023-02-25,MAJOR,Electrical test failure,SCRAP,CLOSED
354,2412,2,10210,12,2023-04-04,MAJOR,Dimensional out-of-spec,REWORK,CLOSED
355,7578,413,11049,5,2023-07-18,MINOR,Unapproved substitution,USE_AS_IS,CLOSED
356,1618,244,16643,5,2023-03-29,MAJOR,Material contamination,RETURN,OPEN
357,8232,242,12951,3,2024-11-05,MINOR,Surface finish degradation,REWORK,OPEN
358,1517,3,1271,1,2026-01-09,MAJOR,Solder joint defect,USE_AS_IS,OPEN
359,2943,391,447,2,2023-06-12,CRITICAL,Unapproved substitution,SCRAP,CLOSED
360,6895,165,4566,3,2025-01-25,CRITICAL,Wrong revision shipped,SCRAP,OPEN
361,2228,2,25073,12,2025-08-28,CRITICAL,ESD damage in shipping,RETURN,OPEN
362,3636,305,25507,8,2025-04-15,MINOR,Dimensional out-of-spec,RETURN,CLOSED
363,1024,213,1901,10,2024-07-25,MINOR,Cracked substrate from shock,SCRAP,CLOSED
364,5242,353,4470,11,2023-08-25,MAJOR,Electrical test failure,RETURN,CLOSED
365,8711,3,7383,10,2024-07-27,MAJOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
366,6255,217,8174,5,2023-05-15,MINOR,Documentation mismatch,SCRAP,CLOSED
367,4372,68,23062,3,2026-08-15,MINOR,Solder joint defect,USE_AS_IS,CLOSED
368,4527,2,14572,8,2025-08-07,MINOR,Electrical test failure,SCRAP,CLOSED
369,1208,13,26273,8,2024-09-08,MINOR,Dimensional out-of-spec,RETURN,CLOSED
370,4954,2,22711,7,2026-06-10,MAJOR,Dimensional out-of-spec,REWORK,CLOSED
371,1283,2,21613,5,2023-01-15,MAJOR,Electrical test failure,SCRAP,CLOSED
372,6332,3,5325,4,2025-01-11,CRITICAL,Material contamination,RETURN,CLOSED
373,3188,2,26739,6,2023-05-23,CRITICAL,Material contamination,REWORK,CLOSED
374,864,64,22668,10,2024-10-29,MINOR,Material contamination,SCRAP,CLOSED
375,2894,3,8476,5,2025-02-28,MAJOR,Unapproved substitution,SCRAP,CLOSED
376,5675,2,13204,11,2025-07-13,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
377,6906,1,24240,6,2025-01-20,MAJOR,Electrical test failure,REWORK,CLOSED
378,7208,2,12612,3,2026-03-10,CRITICAL,Solder joint defect,USE_AS_IS,CLOSED
379,677,3,28734,10,2024-05-21,MINOR,Electrical test failure,REWORK,CLOSED
380,5589,370,580,5,2023-05-28,MINOR,Wrong revision shipped,USE_AS_IS,OPEN
381,645,106,25166,9,2023-10-14,MINOR,Dimensional out-of-spec,RETURN,CLOSED
382,521,3,3010,11,2026-05-09,CRITICAL,Documentation mismatch,USE_AS_IS,CLOSED
383,6463,207,10082,5,2025-07-13,CRITICAL,Dimensional out-of-spec,USE_AS_IS,CLOSED
384,8095,430,27338,8,2024-11-24,MAJOR,Surface finish degradation,SCRAP,CLOSED
385,6036,1,1476,2,2023-03-12,MAJOR,Unapproved substitution,SCRAP,CLOSED
386,9524,2,2770,3,2024-01-20,MAJOR,Cracked substrate from shock,REWORK,CLOSED
387,9621,212,11308,9,2025-05-13,CRITICAL,Material contamination,REWORK,CLOSED
388,7178,166,15701,10,2024-10-11,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
389,3379,341,1234,4,2025-06-17,MINOR,Material contamination,SCRAP,CLOSED
390,6460,253,17862,7,2023-08-12,CRITICAL,Material contamination,RETURN,CLOSED
391,3995,177,16850,12,2024-07-24,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
392,8404,23,25902,12,2023-01-24,MINOR,ESD damage in shipping,USE_AS_IS,OPEN
393,8206,478,16129,3,2024-03-31,MAJOR,Material contamination,REWORK,CLOSED
394,8784,1,17542,1,2024-02-17,MINOR,Dimensional out-of-spec,SCRAP,CLOSED
395,2010,466,10686,2,2025-11-09,CRITICAL,Wrong revision shipped,RETURN,CLOSED
396,6971,78,1887,2,2023-06-11,MINOR,Surface finish degradation,SCRAP,CLOSED
397,6018,317,20436,5,2023-03-07,MINOR,ESD damage in shipping,USE_AS_IS,CLOSED
398,156,444,14014,7,2025-04-30,MINOR,Surface finish degradation,USE_AS_IS,OPEN
399,8733,261,15920,11,2025-07-06,MAJOR,Material contamination,REWORK,CLOSED
400,4144,3,24138,8,2026-06-09,CRITICAL,Dimensional out-of-spec,REWORK,CLOSED
401,6747,1,25161,1,2025-05-10,CRITICAL,Material contamination,USE_AS_IS,CLOSED
402,7757,3,8892,10,2024-12-01,MINOR,Wrong revision shipped,RETURN,CLOSED
403,5542,205,7355,5,2025-08-27,MINOR,Dimensional out-of-spec,SCRAP,CLOSED
404,1450,3,20416,7,2026-03-03,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
405,7435,276,19847,3,2024-10-12,MINOR,Cracked substrate from shock,RETURN,CLOSED
406,9551,2,11346,3,2024-12-29,MINOR,Wrong revision shipped,USE_AS_IS,CLOSED
407,5270,378,4597,6,2023-11-13,CRITICAL,Surface finish degradation,REWORK,CLOSED
408,4477,337,15374,9,2025-09-03,MINOR,Material contamination,SCRAP,CLOSED
409,3037,21,29452,7,2024-01-22,MAJOR,Surface finish degradation,RETURN,CLOSED
410,5487,3,7913,11,2026-07-04,MINOR,Wrong revision shipped,RETURN,CLOSED
411,670,296,29840,4,2024-03-27,CRITICAL,Material contamination,USE_AS_IS,CLOSED
412,7253,47,18772,2,2026-05-23,MAJOR,Surface finish degradation,REWORK,CLOSED
413,6486,125,18351,9,2023-05-23,MINOR,Documentation mismatch,RETURN,CLOSED
414,8625,392,10943,7,2024-05-30,CRITICAL,Cracked substrate from shock,USE_AS_IS,CLOSED
415,762,364,22575,1,2025-12-19,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
416,8564,2,5004,8,2023-09-18,CRITICAL,Surface finish degradation,RETURN,CLOSED
417,8308,216,6503,3,2025-10-17,MAJOR,Electrical test failure,RETURN,CLOSED
418,8446,338,16523,9,2026-05-22,MAJOR,Material contamination,RETURN,CLOSED
419,1408,147,17397,6,2023-06-06,MINOR,Electrical test failure,RETURN,CLOSED
420,282,320,8071,8,2025-09-27,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
421,1046,1,11341,3,2026-09-29,MAJOR,Wrong revision shipped,REWORK,CLOSED
422,100,3,9143,4,2023-10-10,CRITICAL,Cracked substrate from shock,USE_AS_IS,CLOSED
423,9653,2,6220,12,2023-09-27,CRITICAL,Electrical test failure,USE_AS_IS,CLOSED
424,2576,2,27523,8,2024-11-27,MAJOR,Cracked substrate from shock,RETURN,CLOSED
425,6734,2,10258,9,2025-07-21,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
426,9687,290,1671,11,2024-05-31,MINOR,Material contamination,SCRAP,CLOSED
427,9376,205,7523,8,2023-12-26,MINOR,Wrong revision shipped,SCRAP,CLOSED
428,5474,252,20905,4,2023-12-09,MINOR,Material contamination,RETURN,CLOSED
429,2506,260,20417,1,2024-01-11,MINOR,Dimensional out-of-spec,RETURN,CLOSED
430,1310,2,15936,4,2024-11-05,MAJOR,Wrong revision shipped,REWORK,CLOSED
431,5109,1,25307,10,2026-06-12,MINOR,Cracked substrate from shock,USE_AS_IS,CLOSED
432,4105,122,11213,1,2026-09-27,MINOR,Documentation mismatch,REWORK,OPEN
433,948,170,13748,4,2023-08-23,MAJOR,Electrical test failure,REWORK,CLOSED
434,9859,416,3998,4,2023-02-03,CRITICAL,Cracked substrate from shock,SCRAP,CLOSED
435,6542,451,8076,9,2024-11-20,MINOR,ESD damage in shipping,REWORK,CLOSED
436,3643,1,15483,3,2026-04-24,MINOR,Unapproved substitution,REWORK,CLOSED
437,7404,485,13758,9,2026-09-09,CRITICAL,Documentation mismatch,RETURN,CLOSED
438,4959,163,15528,3,2023-02-04,CRITICAL,Documentation mismatch,SCRAP,OPEN
439,3244,249,14603,11,2023-05-19,MINOR,Unapproved substitution,USE_AS_IS,CLOSED
440,8590,74,16545,2,2024-09-23,CRITICAL,Surface finish degradation,RETURN,CLOSED
441,1052,332,20756,8,2024-01-08,MAJOR,Wrong revision shipped,RETURN,OPEN
442,4829,1,11054,7,2025-11-24,CRITICAL,Surface finish degradation,RETURN,OPEN
443,7649,2,27302,8,2026-01-17,CRITICAL,Material contamination,SCRAP,CLOSED
444,1185,451,28273,7,2024-05-25,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
445,6202,2,14382,9,2024-08-27,MAJOR,Solder joint defect,SCRAP,CLOSED
446,5496,460,18747,9,2025-08-23,CRITICAL,Surface finish degradation,USE_AS_IS,CLOSED
447,7283,429,12488,6,2026-01-26,MINOR,ESD damage in shipping,REWORK,CLOSED
448,5726,241,22771,2,2025-07-18,CRITICAL,ESD damage in shipping,SCRAP,CLOSED
449,2074,394,21789,3,2026-08-09,CRITICAL,Cracked substrate from shock,USE_AS_IS,CLOSED
450,8253,230,7513,7,2024-06-23,CRITICAL,Electrical test failure,USE_AS_IS,CLOSED
451,1435,128,8480,12,2023-09-15,MINOR,Electrical test failure,USE_AS_IS,CLOSED
452,7265,381,8179,2,2023-09-09,CRITICAL,Wrong revision shipped,RETURN,CLOSED
453,203,3,11284,2,2026-04-30,CRITICAL,Material contamination,SCRAP,CLOSED
454,3767,287,19475,12,2023-08-01,MAJOR,Electrical test failure,RETURN,CLOSED
455,7598,2,2686,5,2026-08-14,CRITICAL,Material contamination,RETURN,CLOSED
456,2961,3,20927,4,2024-01-10,MAJOR,ESD damage in shipping,RETURN,CLOSED
457,7861,2,24536,6,2023-07-19,MAJOR,Documentation mismatch,USE_AS_IS,OPEN
458,7059,94,9355,3,2025-12-07,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
459,3159,474,27196,9,2023-05-19,CRITICAL,Dimensional out-of-spec,USE_AS_IS,CLOSED
460,6115,166,23490,5,2023-01-31,MAJOR,Material contamination,USE_AS_IS,CLOSED
461,2272,208,28066,8,2023-03-11,CRITICAL,Unapproved substitution,RETURN,CLOSED
462,2237,11,12006,1,2024-03-28,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
463,9741,169,16594,2,2024-07-17,CRITICAL,Wrong revision shipped,RETURN,CLOSED
464,8408,312,15390,11,2025-08-18,CRITICAL,Surface finish degradation,USE_AS_IS,CLOSED
465,1554,1,17182,4,2026-06-18,MAJOR,Wrong revision shipped,USE_AS_IS,CLOSED
466,7212,32,17448,10,2024-06-29,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
467,8791,436,28723,5,2024-02-17,MAJOR,Unapproved substitution,RETURN,OPEN
468,4798,189,15610,4,2023-04-11,MAJOR,Wrong revision shipped,REWORK,CLOSED
469,7493,17,18915,8,2026-07-03,MAJOR,Wrong revision shipped,REWORK,CLOSED
470,9634,1,6847,8,2025-12-02,MAJOR,Material contamination,SCRAP,CLOSED
471,8511,24,14784,6,2026-03-14,CRITICAL,Documentation mismatch,USE_AS_IS,CLOSED
472,3469,287,18982,4,2025-04-17,CRITICAL,Documentation mismatch,USE_AS_IS,CLOSED
473,1375,1,19596,5,2023-12-05,MAJOR,Surface finish degradation,REWORK,CLOSED
474,5335,326,16779,12,2025-12-02,CRITICAL,Cracked substrate from shock,USE_AS_IS,CLOSED
475,4878,1,22064,9,2023-05-26,CRITICAL,Unapproved substitution,USE_AS_IS,CLOSED
476,1791,1,14565,9,2024-12-27,MAJOR,Cracked substrate from shock,REWORK,CLOSED
477,4200,265,17755,6,2026-01-20,MAJOR,Electrical test failure,SCRAP,CLOSED
478,2994,231,16648,9,2024-09-02,CRITICAL,Electrical test failure,REWORK,CLOSED
479,5534,325,23628,9,2026-03-25,MAJOR,Unapproved substitution,REWORK,CLOSED
480,8507,115,16475,3,2023-05-30,MAJOR,Unapproved substitution,USE_AS_IS,CLOSED
481,8589,197,12518,10,2024-12-23,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
482,6037,257,21104,4,2025-07-25,MAJOR,Electrical test failure,REWORK,CLOSED
483,3931,333,18534,3,2023-07-01,MAJOR,Solder joint defect,SCRAP,CLOSED
484,5644,413,18022,4,2025-11-07,MAJOR,Electrical test failure,SCRAP,CLOSED
485,5061,233,17445,4,2023-06-26,MAJOR,ESD damage in shipping,RETURN,CLOSED
486,4986,106,23379,6,2026-08-25,CRITICAL,Material contamination,RETURN,OPEN
487,5669,243,19397,6,2025-12-10,MAJOR,ESD damage in shipping,RETURN,CLOSED
488,8475,459,20233,2,2023-06-14,MINOR,Surface finish degradation,USE_AS_IS,CLOSED
489,7098,96,11912,9,2026-03-15,CRITICAL,Electrical test failure,USE_AS_IS,CLOSED
490,6933,78,12207,5,2023-09-25,CRITICAL,Wrong revision shipped,SCRAP,CLOSED
491,4241,235,15354,2,2025-04-16,MAJOR,ESD damage in shipping,RETURN,CLOSED
492,1882,1,7503,7,2023-06-26,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
493,4506,473,10679,8,2024-04-10,CRITICAL,Unapproved substitution,RETURN,CLOSED
494,6790,11,17186,5,2026-05-08,MAJOR,Documentation mismatch,RETURN,CLOSED
495,3027,1,3886,8,2025-02-27,CRITICAL,Material contamination,SCRAP,CLOSED
496,4709,1,10016,8,2024-03-23,CRITICAL,Cracked substrate from shock,SCRAP,CLOSED
497,3207,247,2575,9,2025-01-21,MAJOR,ESD damage in shipping,USE_AS_IS,CLOSED
498,4304,97,27624,3,2024-02-26,MAJOR,Cracked substrate from shock,SCRAP,CLOSED
499,1718,233,24242,8,2025-06-09,MINOR,Cracked substrate from shock,SCRAP,CLOSED
500,2679,3,11731,9,2025-05-05,MINOR,Wrong revision shipped,USE_AS_IS,CLOSED
501,1955,229,26507,9,2023-10-07,MINOR,Unapproved substitution,RETURN,CLOSED
502,9181,102,9382,10,2023-09-17,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
503,351,49,5101,11,2024-05-27,CRITICAL,Wrong revision shipped,REWORK,CLOSED
504,5651,2,11960,8,2026-08-14,CRITICAL,Cracked substrate from shock,SCRAP,CLOSED
505,6548,33,13586,3,2025-04-18,CRITICAL,ESD damage in shipping,USE_AS_IS,CLOSED
506,6015,1,514,1,2023-08-19,MAJOR,Cracked substrate from shock,REWORK,CLOSED
507,2473,334,3147,9,2023-09-10,CRITICAL,Solder joint defect,USE_AS_IS,CLOSED
508,7797,208,28980,11,2026-01-16,MINOR,Wrong revision shipped,RETURN,CLOSED
509,1053,2,14889,10,2024-12-05,CRITICAL,Unapproved substitution,SCRAP,CLOSED
510,9595,307,24017,3,2024-09-25,MAJOR,Material contamination,RETURN,CLOSED
511,460,287,2949,7,2024-09-02,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
512,4035,374,17283,9,2025-08-27,MAJOR,Documentation mismatch,SCRAP,CLOSED
513,1190,1,14521,4,2025-02-07,CRITICAL,Cracked substrate from shock,SCRAP,CLOSED
514,4372,3,11078,8,2025-04-09,CRITICAL,Solder joint defect,REWORK,CLOSED
515,2401,40,10881,8,2025-02-24,CRITICAL,Surface finish degradation,REWORK,CLOSED
516,1450,432,6613,6,2023-09-13,MAJOR,Solder joint defect,REWORK,CLOSED
517,3094,113,19988,7,2023-04-25,MINOR,ESD damage in shipping,USE_AS_IS,OPEN
518,7459,1,14795,1,2023-08-20,MINOR,Material contamination,USE_AS_IS,CLOSED
519,4839,3,12181,9,2024-07-20,CRITICAL,Solder joint defect,RETURN,CLOSED
520,1727,117,26400,1,2025-07-04,CRITICAL,Dimensional out-of-spec,SCRAP,CLOSED
521,300,1,9443,4,2023-04-22,MAJOR,Documentation mismatch,USE_AS_IS,CLOSED
522,8427,408,26348,10,2024-09-16,MINOR,Material contamination,USE_AS_IS,CLOSED
523,7627,3,3871,5,2024-05-20,MINOR,Unapproved substitution,RETURN,CLOSED
524,9572,1,17691,8,2025-12-28,MAJOR,Electrical test failure,SCRAP,CLOSED
525,1461,359,22952,7,2023-01-28,MAJOR,Wrong revision shipped,REWORK,OPEN
526,9860,2,17961,9,2025-10-29,MINOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
527,502,217,22727,7,2023-01-19,CRITICAL,Solder joint defect,USE_AS_IS,CLOSED
528,9267,3,23944,5,2024-05-19,CRITICAL,Material contamination,SCRAP,CLOSED
529,3187,1,13871,12,2025-06-10,CRITICAL,Dimensional out-of-spec,REWORK,CLOSED
530,5327,367,18576,8,2025-09-24,MAJOR,ESD damage in shipping,USE_AS_IS,CLOSED
531,3462,410,6925,11,2026-03-03,MINOR,Documentation mismatch,RETURN,CLOSED
532,7782,272,15654,10,2023-05-05,CRITICAL,Dimensional out-of-spec,REWORK,CLOSED
533,9222,135,4811,9,2024-05-22,MINOR,Surface finish degradation,SCRAP,CLOSED
534,1525,1,16220,9,2025-09-18,CRITICAL,Wrong revision shipped,USE_AS_IS,OPEN
535,6018,3,7836,11,2024-01-25,MAJOR,Unapproved substitution,SCRAP,CLOSED
536,9679,1,22238,1,2024-10-10,MINOR,Documentation mismatch,SCRAP,CLOSED
537,2836,22,26274,6,2024-06-09,MINOR,Material contamination,RETURN,CLOSED
538,2076,337,27730,5,2026-08-06,MAJOR,ESD damage in shipping,RETURN,CLOSED
539,3471,138,30,5,2026-04-19,CRITICAL,Solder joint defect,SCRAP,CLOSED
540,3516,179,12164,1,2024-12-12,MAJOR,Documentation mismatch,SCRAP,CLOSED
541,7553,370,24087,12,2025-09-13,MINOR,Dimensional out-of-spec,SCRAP,CLOSED
542,2458,2,26250,5,2026-07-09,MINOR,Electrical test failure,REWORK,OPEN
543,7574,114,7671,3,2024-03-07,MAJOR,Dimensional out-of-spec,REWORK,CLOSED
544,5160,249,23699,4,2025-08-09,MINOR,Wrong revision shipped,USE_AS_IS,CLOSED
545,2904,189,25176,11,2025-03-05,MAJOR,Wrong revision shipped,RETURN,CLOSED
546,6503,2,26503,5,2024-11-02,CRITICAL,Material contamination,RETURN,CLOSED
547,9547,338,23685,6,2023-02-17,CRITICAL,Solder joint defect,REWORK,CLOSED
548,2159,3,4751,12,2024-09-30,MINOR,Electrical test failure,USE_AS_IS,CLOSED
549,395,254,8345,6,2023-12-21,CRITICAL,Unapproved substitution,SCRAP,CLOSED
550,7413,2,8571,1,2024-01-26,MINOR,Material contamination,RETURN,CLOSED
551,6064,330,26290,8,2025-01-02,MINOR,Dimensional out-of-spec,SCRAP,CLOSED
552,2180,309,17824,9,2023-09-03,MINOR,Dimensional out-of-spec,RETURN,CLOSED
553,2182,469,4873,5,2026-05-15,MAJOR,Surface finish degradation,RETURN,CLOSED
554,2050,2,17234,10,2023-12-07,MAJOR,Surface finish degradation,USE_AS_IS,CLOSED
555,8064,248,10336,9,2023-08-31,CRITICAL,Wrong revision shipped,RETURN,CLOSED
556,4933,474,2223,4,2023-07-10,MAJOR,Material contamination,SCRAP,CLOSED
557,4280,2,7847,4,2023-08-01,MAJOR,Unapproved substitution,USE_AS_IS,CLOSED
558,2712,472,25231,4,2024-09-23,CRITICAL,Surface finish degradation,REWORK,CLOSED
559,1996,187,25867,6,2026-08-16,MINOR,Cracked substrate from shock,SCRAP,CLOSED
560,6387,119,19119,4,2025-07-11,CRITICAL,Material contamination,REWORK,CLOSED
561,3941,414,1235,3,2024-12-06,MAJOR,Material contamination,REWORK,CLOSED
562,6298,1,29108,5,2024-02-02,MINOR,Unapproved substitution,USE_AS_IS,CLOSED
563,6515,490,21698,3,2023-03-07,CRITICAL,Documentation mismatch,REWORK,CLOSED
564,6833,359,17502,2,2024-12-18,MINOR,Electrical test failure,RETURN,CLOSED
565,5278,334,2165,11,2026-05-12,CRITICAL,Material contamination,RETURN,CLOSED
566,6169,293,561,3,2025-02-05,CRITICAL,Wrong revision shipped,REWORK,OPEN
567,4432,27,21456,5,2023-02-11,MINOR,Surface finish degradation,SCRAP,OPEN
568,1367,421,24531,8,2024-08-13,MAJOR,Documentation mismatch,RETURN,CLOSED
569,1976,3,6611,7,2024-02-25,MAJOR,Wrong revision shipped,RETURN,CLOSED
570,7575,7,18900,12,2024-04-10,MAJOR,Unapproved substitution,REWORK,CLOSED
571,1935,6,29938,2,2023-11-04,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
572,6273,334,8097,9,2024-05-18,MAJOR,ESD damage in shipping,REWORK,CLOSED
573,5765,386,18264,8,2025-04-19,CRITICAL,Wrong revision shipped,REWORK,CLOSED
574,8799,16,14303,4,2025-02-10,MAJOR,Wrong revision shipped,SCRAP,CLOSED
575,401,3,9736,8,2025-06-06,MINOR,Unapproved substitution,USE_AS_IS,OPEN
576,7755,257,445,5,2026-06-13,MAJOR,Surface finish degradation,SCRAP,CLOSED
577,2845,322,26985,8,2023-01-21,CRITICAL,Cracked substrate from shock,SCRAP,CLOSED
578,2574,186,29045,7,2023-10-23,MAJOR,Surface finish degradation,RETURN,CLOSED
579,6697,3,27760,5,2024-04-06,MAJOR,Solder joint defect,RETURN,CLOSED
580,742,2,4407,11,2024-08-31,CRITICAL,Electrical test failure,SCRAP,CLOSED
581,4309,226,15969,4,2025-09-08,CRITICAL,Wrong revision shipped,REWORK,CLOSED
582,179,451,14951,4,2026-07-10,MINOR,Wrong revision shipped,SCRAP,OPEN
583,9180,54,3356,2,2024-04-03,MINOR,Wrong revision shipped,SCRAP,CLOSED
584,9154,454,10291,11,2025-09-04,MINOR,Unapproved substitution,RETURN,CLOSED
585,5673,441,15939,10,2023-12-24,MINOR,Wrong revision shipped,RETURN,CLOSED
586,4713,148,10383,4,2025-01-27,CRITICAL,Cracked substrate from shock,USE_AS_IS,CLOSED
587,6165,73,1504,2,2024-07-06,MINOR,Material contamination,REWORK,CLOSED
588,6742,92,9597,3,2025-09-07,MINOR,Cracked substrate from shock,REWORK,CLOSED
589,9764,1,18926,11,2026-01-15,MINOR,Unapproved substitution,REWORK,CLOSED
590,1277,2,27932,8,2024-09-30,MAJOR,Documentation mismatch,RETURN,OPEN
591,8532,3,5446,7,2025-03-05,MINOR,Wrong revision shipped,RETURN,CLOSED
592,7921,1,16050,6,2024-05-26,MAJOR,Documentation mismatch,USE_AS_IS,CLOSED
593,801,498,26157,7,2025-07-09,CRITICAL,Dimensional out-of-spec,USE_AS_IS,CLOSED
594,4623,39,19407,7,2026-06-22,MINOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
595,3700,19,18511,2,2025-12-10,MINOR,Solder joint defect,USE_AS_IS,CLOSED
596,8941,146,21088,8,2024-06-24,MAJOR,Dimensional out-of-spec,RETURN,CLOSED
597,6629,2,28685,10,2024-06-20,CRITICAL,Material contamination,SCRAP,CLOSED
598,3740,469,19909,1,2023-09-05,MINOR,Cracked substrate from shock,USE_AS_IS,CLOSED
599,6065,411,8085,11,2025-10-17,MAJOR,Electrical test failure,SCRAP,OPEN
600,9079,462,4609,5,2024-01-03,CRITICAL,Documentation mismatch,RETURN,CLOSED
